Numb	Lon	Lat	Type	TotalThickness
1	-179.5	89.5	SOCE	8.7762
2	-178.5	89.5	SOCE	8.6854
3	-177.5	89.5	SOCE	8.591
4	-176.5	89.5	SOCE	8.498
5	-175.5	89.5	SOCE	8.4098
6	-174.5	89.5	SOCE	8.3284
7	-173.5	89.5	SOCE	8.2566
8	-172.5	89.5	SOCE	8.1984
9	-171.5	89.5	SOCE	8.1581
10	-170.5	89.5	SOCE	8.1368
11	-169.5	89.5	SOCE	8.1321
12	-168.5	89.5	SOCE	8.1403
13	-167.5	89.5	SOCE	8.1577
14	-166.5	89.5	SOCE	8.1814
15	-165.5	89.5	SOCE	8.2091
16	-164.5	89.5	SOCE	8.2391
17	-163.5	89.5	SOCE	8.27
18	-162.5	89.5	SOCE	8.3007
19	-161.5	89.5	SOCE	8.33
20	-160.5	89.5	SOCE	8.3571
21	-159.5	89.5	SOCE	8.3812
22	-158.5	89.5	SOCE	8.402
23	-157.5	89.5	SOCE	8.4193
24	-156.5	89.5	SOCE	8.4331
25	-155.5	89.5	SOCE	8.4438
26	-154.5	89.5	SOCE	8.4518
27	-153.5	89.5	SOCE	8.4577
28	-152.5	89.5	SOCE	8.4621
29	-151.5	89.5	SOCE	8.4658
30	-150.5	89.5	SOCE	8.4693
31	-149.5	89.5	SOCE	8.4734
32	-148.5	89.5	SOCE	8.4783
33	-147.5	89.5	SOCE	8.4843
34	-146.5	89.5	SOCE	8.4914
35	-145.5	89.5	SOCE	8.4992
36	-144.5	89.5	SOCE	8.5076
37	-143.5	89.5	SOCE	8.5163
38	-142.5	89.5	SOCE	8.525
39	-141.5	89.5	SOCE	8.533
40	-140.5	89.5	SOCE	8.5396
41	-139.5	89.5	SOCE	8.5436
42	-138.5	89.5	SOCE	8.5443
43	-137.5	89.5	SOCE	8.5415
44	-136.5	89.5	SOCE	8.5363
45	-135.5	89.5	SOCE	8.53
46	-134.5	89.5	SOCE	8.5239
47	-133.5	89.5	SOCE	8.5187
48	-132.5	89.5	SOCE	8.5145
49	-131.5	89.5	SOCE	8.5108
50	-130.5	89.5	SOCE	8.507
51	-129.5	89.5	SOCE	8.5027
52	-128.5	89.5	SOCE	8.4976
53	-127.5	89.5	SOCE	8.4917
54	-126.5	89.5	SOCE	8.4847
55	-125.5	89.5	SOCE	8.4758
56	-124.5	89.5	SOCE	8.4641
57	-123.5	89.5	SOCE	8.4485
58	-122.5	89.5	SOCE	8.4286
59	-121.5	89.5	SOCE	8.4044
60	-120.5	89.5	SOCE	8.3764
61	-119.5	89.5	SOCE	8.3458
62	-118.5	89.5	SOCE	8.314
63	-117.5	89.5	SOCE	8.2827
64	-116.5	89.5	SOCE	8.2533
65	-115.5	89.5	SOCE	8.2275
66	-114.5	89.5	SOCE	8.2065
67	-113.5	89.5	SOCE	8.1917
68	-112.5	89.5	SOCE	8.1844
69	-111.5	89.5	SOCE	8.1856
70	-110.5	89.5	SOCE	8.1954
71	-109.5	89.5	SOCE	8.2123
72	-108.5	89.5	SOCE	8.2339
73	-107.5	89.5	SOCE	8.2562
74	-106.5	89.5	SOCE	8.2756
75	-105.5	89.5	SOCE	8.2895
76	-104.5	89.5	SOCE	8.2969
77	-103.5	89.5	SOCE	8.2988
78	-102.5	89.5	SOCE	8.2966
79	-101.5	89.5	SOCE	8.2916
80	-100.5	89.5	SOCE	8.2845
81	-99.5	89.5	SOCE	8.2748
82	-98.5	89.5	SOCE	8.2618
83	-97.5	89.5	SOCE	8.2451
84	-96.5	89.5	SOCE	8.226
85	-95.5	89.5	SOCE	8.2073
86	-94.5	89.5	SOCE	8.1945
87	-93.5	89.5	SOCE	8.196
88	-92.5	89.5	SOCE	8.2236
89	-91.5	89.5	SOCE	8.2909
90	-90.5	89.5	SOCE	8.4043
91	-89.5	89.5	SOCE	8.5476
92	-88.5	89.5	SOCE	8.6717
93	-87.5	89.5	SOCE	8.748
94	-86.5	89.5	SOCE	8.7777
95	-85.5	89.5	SOCE	8.7762
96	-84.5	89.5	SOCE	8.759
97	-83.5	89.5	SOCE	8.7369
98	-82.5	89.5	SOCE	8.7166
99	-81.5	89.5	SOCE	8.701
100	-80.5	89.5	SOCE	8.6905
101	-79.5	89.5	SOCE	8.6866
102	-78.5	89.5	SOCE	8.6895
103	-77.5	89.5	SOCE	8.6989
104	-76.5	89.5	SOCE	8.7124
105	-75.5	89.5	SOCE	8.7251
106	-74.5	89.5	SOCE	8.7324
107	-73.5	89.5	SOCE	8.7288
108	-72.5	89.5	SOCE	8.7128
109	-71.5	89.5	SOCE	8.6854
110	-70.5	89.5	SOCE	8.6525
111	-69.5	89.5	SOCE	8.6232
112	-68.5	89.5	SOCE	8.6058
113	-67.5	89.5	SOCE	8.6037
114	-66.5	89.5	SOCE	8.6159
115	-65.5	89.5	SOCE	8.6384
116	-64.5	89.5	SOCE	8.6699
117	-63.5	89.5	SOCE	8.7134
118	-62.5	89.5	SOCE	8.7828
119	-61.5	89.5	SOCE	8.9078
120	-60.5	89.5	SOCE	9.1188
121	-59.5	89.5	SOCE	9.3925
122	-58.5	89.5	SOCE	9.5942
123	-57.5	89.5	SOCE	9.7003
124	-56.5	89.5	SOCE	9.7401
125	-55.5	89.5	SOCE	9.7418
126	-54.5	89.5	SOCE	9.7267
127	-53.5	89.5	SOCE	9.7126
128	-52.5	89.5	SOCE	9.7065
129	-51.5	89.5	SOCE	9.7072
